Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-6227,COL de RAUS (CR),WW1,44.02438,7.41274,JN34QA
FBOTA,227,B/F-6228,COL de RAUS,WW1,44.02408,7.41239,JN34QA
FBOTA,227,B/F-6229,COL de RAUS 1,WW1,44.02381,7.41275,JN34QA
FBOTA,227,B/F-6230,PLANET 5,WW1,44.02175,7.32667,JN34PA
FBOTA,227,B/F-6231,PLANET 2,WW1,44.02174,7.32612,JN34PA
FBOTA,227,B/F-6232,PLANET,WW1,44.02173,7.32677,JN34PA
FBOTA,227,B/F-6233,PLANET 1,WW1,44.02163,7.32634,JN34PA
FBOTA,227,B/F-6234,PLANET 3,WW1,44.02156,7.32627,JN34PA
FBOTA,227,B/F-6235,PLANET 4,WW1,44.02137,7.32676,JN34PA
FBOTA,227,B/F-6236,BERGHE Nord (Tunnel de),WW1,44.02129,7.56553,JN34SA
FBOTA,227,B/F-6237,COL du FORT (F),WW1,44.01839,7.25271,JN34PA
FBOTA,227,B/F-6238,O36 - ROQUEBILIERE,WW1,44.01830,7.30918,JN34PA
FBOTA,227,B/F-6239,BAISSE de SAINT VERAN,WW1,44.01659,7.42313,JN34RA
FBOTA,227,B/F-6240,MONT PELA,WW1,44.01632,7.35261,JN34QA
FBOTA,227,B/F-6241,BERGHE Sud (Tunnel de),WW1,44.01526,7.55350,JN34SA
FBOTA,227,B/F-6242,FLAUT,WW1,44.00489,7.33165,JN34PA
FBOTA,227,B/F-6243,POINTE des TROIS COMMUNES (PTC),WW1,44.00107,7.43307,JN34RA
FBOTA,227,B/F-6244,O35 - CHAPELLE SAINT SAUVEUR,WW1,43.99969,7.34542,JN33QX
FBOTA,227,B/F-6245,POINTE des TROIS COMMUNES Sud,WW1,43.99967,7.43599,JN33RX
FBOTA,227,B/F-6246,GORDOLON (GN),WW1,43.99866,7.31107,JN33PX
FBOTA,227,B/F-6247,PLAN CAVAL 1,WW1,43.99859,7.44011,JN33RX
FBOTA,227,B/F-6248,PLAN CAVAL 2,WW1,43.99844,7.44062,JN33RX
FBOTA,227,B/F-6249,PLAN CAVAL 3,WW1,43.99818,7.44013,JN33RX
FBOTA,227,B/F-6250,PLAN CAVAL 4,WW1,43.99761,7.44074,JN33RX
FBOTA,227,B/F-6251,PLAN CAVAL 5,WW1,43.99752,7.44331,JN33RX
FBOTA,227,B/F-6252,PLAN CAVAL (PCV),WW1,43.99711,7.44266,JN33RX
FBOTA,227,B/F-6253,PLAN CAVAL 7,WW1,43.99536,7.44395,JN33RX
FBOTA,227,B/F-6254,PLAN CAVAL 8,WW1,43.99461,7.44399,JN33RX
FBOTA,227,B/F-6255,La BEOLE (BE),WW1,43.99176,7.46797,JN33RX
FBOTA,227,B/F-6256,MILLE FOURCHES,WW1,43.99117,7.43319,JN33RX
FBOTA,227,B/F-6257,La BEOLE,WW1,43.99020,7.47554,JN33RX
FBOTA,227,B/F-6258,O34 - BOLLENE Est,WW1,43.98926,7.32141,JN33PX
FBOTA,227,B/F-6259,O33 - BOLLENE Ouest,WW1,43.98902,7.31717,JN33PX
FBOTA,227,B/F-6260,ARSEA (94° RAM),WW1,43.98318,7.41626,JN33QX
FBOTA,227,B/F-6261,La DEA (D),WW1,43.95226,7.45603,JN33RW
FBOTA,227,B/F-6262,COL d'AGNON,WW1,43.95113,7.48588,JN33RW
FBOTA,227,B/F-6263,COL d'AGNON  2,WW1,43.95084,7.48611,JN33RW
FBOTA,227,B/F-6264,COL d'AGNON  1,WW1,43.95073,7.48561,JN33RW
